lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,lon,lat,entidad,tipo_reporte,
residencial,Daños,,del valle,patricio sans 612,,,,,,,"https://www.google.com.mx/maps/place/Calle+Patricio+Sanz+612,+Col+del+Valle+Centro,+03100+Ciudad+de+M%C3%A9xico,+CDMX/@19.3915996,-99.1707051,19z/data=!4m5!3m4!1s0x85d1ff737381ff43:0x7d7fcf4ebaf0dd2e!8m2!3d19.3915946!4d-99.1701579",-99.171,19.392,cdmx,,
,Derrumbe,Yucatán y Querétaro,condesa,yucatan,286,,,,,,"https://www.google.com.mx/maps/place/Calle+Quer%C3%A9taro+%26+Av.+Yucatan,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4142698,-99.1653656,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff394ccf8591:0x15b86755b72fe003!8m2!3d19.4142698!4d-99.1631769?hl=es-419",-99.1650000000,19.4140000000,cdmx,proteccion civil,
,Derrumbe,yacatas y concepción beistegui,narvarte oriente,,,,sin lesionados,,,,"https://www.google.com.mx/maps/place/Calle+Concepci%C3%B3n+Beistegui+%26+Calle+Yacatas,+Narvarte+Poniente,+03020+Ciudad+de+M%C3%A9xico,+CDMX/@19.3873457,-99.1582722,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff07da8e31f1:0x8c976dc7df28c30e!8m2!3d19.3873457!4d-99.1560835?hl=es-419",-99.1580000000,19.3870000000,cdmx,proteccion civil,
,Derrumbe,viaducto y tanana,Piedad Narvarte,,,sin determinar,sin determinar,,sin determinar,,"https://www.google.com.mx/maps/@19.4022986,-99.1617407,3a,75y,110.46h,90t/data=!3m7!1e1!3m5!1s8GOXnmYdjYNscmUu3uwN_Q!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D8GOXnmYdjYNscmUu3uwN_Q%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D111.577126%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",-99.1620000000,19.4020000000,cdmx,proteccion civil,
x,Derrumbe,viaducto y av coyoacan,del valle,,,,,,,,"https://www.google.com.mx/maps/@19.4003582,-99.1679256,431a,13.1y/data=!3m5!1e1!3m3!1seiYQTVy6KeurjFcL33V4PQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DeiYQTVy6KeurjFcL33V4PQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D5.025852%26pitch%3D0%26thumbfov%3D100",-99.1680000000,19.4000000000,cdmx,proteccion civil,
,Derrumbe,tecaxtitla y cacaloac,santa rosa xochiac,,,,,,,,"https://www.google.com.mx/maps/place/Cacaloac,+Santa+Rosa+Xochiac,+01830+Ciudad+de+M%C3%A9xico,+CDMX/@19.3159717,-99.2925334,17z/data=!3m1!4b1!4m5!3m4!1s0x85cdf8ba5c90eb2f:0x5154ea189b7ee787!8m2!3d19.3159717!4d-99.2903447",-99.2930000000,19.3160000000,cdmx,proteccion civil,
,Derrumbe,tabasco y medellín,Roma Norte,,,1,,,,,"https://www.google.com.mx/maps/place/Medell%C3%ADn+%26+Tabasco,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4178166,-99.1681075,17.19z/data=!4m5!3m4!1s0x85d1ff384352a18d:0xbd605f4c630d8deb!8m2!3d19.4178339!4d-99.166064?hl=es-419",-99.1660000000,19.4190000000,cdmx,proteccion civil,
residencial,Derrumbe,Sierravista y Ticomán,Lindavista,Coquimbo,911,,,,,,"https://www.google.com/maps/place/Coquimbo+907,+Lindavista,+07300+Ciudad+de+M%C3%A9xico,+CDMX,+Mexico/@19.4932245,-99.1253009,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f997ef81781b:0x9bb676c9efd4fcbf!8m2!3d19.493224!4d-99.123112",-99.1228600000,19.4937950000,CDMX,,
barda,Derrumbe,santa ana y ejido santa cruz,san francisco culhuacan,,,,4,,1,,"https://www.google.com.mx/maps/place/Avenida+Santa+Ana+%26+Ejido+Santa+Cruz+Atoyac,+Ex-Ejido+de+San+Francisco+Culhuacan,+04470+Ciudad+de+M%C3%A9xico,+CDMX/@19.3294365,-99.1271179,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce01dd14df71db:0x804641297b0bf96a!8m2!3d19.3294365!4d-99.1249292?hl=es-419",-99.1270000000,19.3290000000,cdmx,proteccion civil,
,Derrumbe,san luis y medellin,Roma Norte,,,,,,2,2,"https://www.google.com.mx/maps/place/San+Luis+Potos%C3%AD,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4139514,-99.1627023,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff3ec48ab427:0x5407042bf512e5d7!8m2!3d19.4139514!4d-99.1605136",-99.1630000000,19.4140000000,cdmx,proteccion civil,
,Derrumbe,salamanca y oaxaca,Roma Norte,,,sin determinar,sin determinar,,sin determinar,,"https://www.google.com.mx/maps/place/Eje+3+Pte+%26+Av+Oaxaca,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.417299,-99.1699543,17.97z/data=!4m5!3m4!1s0x85d1ff479fc2db11:0x51758135c872cc23!8m2!3d19.4170538!4d-99.1690568?hl=es-419",-99.1700000000,19.4190000000,cdmx,proteccion civil,
,Derrumbe,rancho los arcos y calzada del hueso,los girasoles,,,,,,1,10,"https://www.google.com.mx/maps/place/Calz.+del+Hueso+%26+Rancho+de+Los+Arcos,+Girasoles+I,+04920+Ciudad+de+M%C3%A9xico,+CDMX/@19.3037524,-99.1255481,16.57z/data=!4m5!3m4!1s0x85ce01980e595fe7:0xed1dc69532f13f3d!8m2!3d19.3033084!4d-99.1228743?hl=es-419",-99.1250000000,19.3050000000,cdmx,proteccion civil,
