lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,lon,lat,entidad,tipo_reporte,
,Derrumbe,amores y viaducto,,,,,,,,,"https://www.google.com.mx/maps/place/Amores,+Col+del+Valle+Centro,+Ciudad+de+M%C3%A9xico,+CDMX/@19.4017452,-99.162399,18z/data=!4m5!3m4!1s0x85d1ff115fe67d97:0x1c87a1e1b3bcc660!8m2!3d19.3817528!4d-99.1669319?hl=en",-99.162,19.402,,,
,Derrumbe,alvaro obregon y valladolid,Roma Norte,,,,,,,,"https://www.google.com.mx/maps/place/Av.+%C3%81lvaro+Obreg%C3%B3n+%26+Valladolid,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4168969,-99.1695238,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff38873af383:0x46f547ff8659383c!8m2!3d19.4168969!4d-99.1673351?hl=es-419",-99.167,19.417,cdmx,,
,Derrumbe,acoxpa y trancas,,,,,,,,,"https://www.google.com.mx/maps/place/Calz+Acoxpa+%26+Av.+las+Trancas,+Narciso+Mendoza,+14390+Ciudad+de+M%C3%A9xico,+CDMX/@19.2920581,-99.1255281,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0175536934e3:0xf7ca53cd437c5764!8m2!3d19.2920581!4d-99.1233394?hl=es-419",-99.126,19.292,,,
barda,Derrumbe,10 de abril y anenecuilco,uh emiliano zapata,,,,,,,,"https://www.google.com.mx/maps/place/10+de+Abril+%26+Anenecuilco,+Popular+Emiliano+Zapata,+04919+Ciudad+de+M%C3%A9xico,+CDMX/@19.3165437,-99.1111852,18.03z/data=!4m5!3m4!1s0x85ce018d2b6936e5:0xe1f43f046db77ffc!8m2!3d19.3166315!4d-99.1099325?hl=es-419",-99.111,19.317,cdmx,,
Tec de Monterrey CDMX,Derrumbe,,Ejidos de Huipilco,Calle del Puente,222,,,,10,,"https://www.google.com.mx/maps/place/Tec+de+Monterrey+Ciudad+de+M%C3%A9xico,+M%C3%A9xico/@19.2838273,-99.1383662,17.29z/data=!4m8!1m2!2m1!1sTec+de+Monterrey+CDMX,+mexico!3m4!1s0x0:0xefbfadbc06848b6c!8m2!3d19.2853955!4d-99.1355824?hl=es-419",-99.138,19.284,,,
escuela enrique rebsamen,Derrumbe,,nueva oriental tlalpan,rancho tamboreo,11,,,,,,"https://www.google.com.mx/maps/place/Rancho+Tamboreo+11,+Nueva+Oriental+Coapa,+14300+Ciudad+de+M%C3%A9xico,+CDMX/@19.297015,-99.1323065,17.33z/data=!4m5!3m4!1s0x85ce01a69665a55b:0xc8ae9f60f90c02ea!8m2!3d19.296988!4d-99.1305338?hl=es-419",-99.133,19.297,cdmx,,
escuela montesquieu,Derrumbe,,,,,,,,,,"https://www.google.com.mx/maps/place/COLEGIO+MONTESQUIEU/@19.3165082,-99.1368913,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce01c80842de07:0xa690652f6182a230!8m2!3d19.3165082!4d-99.1347026?hl=es-419",-99.137,19.317,,,
Soriana Taxqueña,Derrumbe,,,,,,,,,,"https://www.google.com.mx/maps/place/Soriana+H%C3%ADper+-+Tlalpan/@19.3428605,-99.1437585,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce005253e6f07b:0xb5b94939835ba6ec!8m2!3d19.3428555!4d-99.1415698",-99.144,19.343,Ciudad de México,,
,Derrumbe,,,,,,,,,,"https://www.google.com.mx/maps/place/Gral.+Emiliano+Zapata,+Portales+Oriente,+Ciudad+de+M%C3%A9xico,+CDMX/@19.3688387,-99.1542455,16z/data=!4m5!3m4!1s0x85d1ffb41d1800c5:0x24d6d30a6601b059!8m2!3d19.363879!4d-99.1402551",-99.154,19.369,,,
Escuela secundaria pública técnica,Derrumbe de Barda,Calle Seis y Av. Circunvalación s/N,Cuchilla Pantitlán,,,0,0,0,0,0,"https://www.google.com.mx/maps/place/Escuela+Secundaria+Técnica+No.+66+Francisco+J.+Múgica/@19.4221677,-99.0581927,15z/data=!4m5!3m4!1s0x0:0x54897abb1c663351!8m2!3d19.4221677!4d-99.0581927",-99.058,19.422,CDMX,,
Residencial,Daño Mayor,Navarra y Galicia,Álamos,Xola,32,,,,,,"https://www.google.com.mx/maps/place/Eje+4+Sur+%26+Calle+Bolivar,+%C3%81lamos,+03400+Ciudad+de+M%C3%A9xico,+CDMX/@19.3948528,-99.1462771,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fefd0b7b00dd:0x9fbd57e83b24b7d!8m2!3d19.3948528!4d-99.1440884?hl=es-419",-99.1449990000,19.3952120000,CdMx,Red de Monitoreo,
,,vallarta e ignacio ramirez,,,,,,,,,"https://www.google.com.mx/maps/place/Ignacio+Ram%C3%ADrez+%26+Priv.+Vallarta,+Tabacalera,+06030+Ciudad+de+M%C3%A9xico,+CDMX/@19.4347052,-99.1567542,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8d2fa95abbf:0xbbb11b056d2f5f38!8m2!3d19.4347052!4d-99.1545655?hl=es-419",-99.1567542000,19.4347052000,,,
,,puebla y medellin,Roma Norte,,,,,,,,"https://www.google.com.mx/maps/place/Medell%C3%ADn+%26+Puebla,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4214881,-99.1683086,18.13z/data=!4m5!3m4!1s0x85d1ff37c33c03cf:0x6e0c463bcd732464!8m2!3d19.4217075!4d-99.1670157?hl=es-419",-99.1683086000,19.4214881000,,,
,,Miguel Negrete y Niños Héroes,,,,,,,,,"https://www.google.com.mx/maps/place/Av.+Ni%C3%B1os+Heroes+de+Chapultepec+%26+Miguel+Negrete,+Ni%C3%B1os+H%C3%A9roes,+03440+Ciudad+de+M%C3%A9xico,+CDMX/@19.3877398,-99.1484456,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff002537e27f:0x9d41e35f1e33ea31!8m2!3d19.3877398!4d-99.1462569?hl=es-419",-99.1484456000,19.3877398000,,,
escuela,,Chihuahua y Orizaba,,,,,,,,,"https://www.google.com.mx/maps/place/Orizaba+%26+Calle+de+Chihuahua,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4172789,-99.1606335,18.52z/data=!4m5!3m4!1s0x85d1ff3a5514ccef:0xf9c75a46ee452e7a!8m2!3d19.41751!4d-99.1595999?hl=es-419",-99.1606335000,19.4172789000,,,
Edificio Servicio Nacional del Empleo,,,,,,,,,,,"https://www.google.com.mx/maps/place/Servicio+Nacional+de+Empleo/@19.3932744,-99.1600168,15.83z/data=!4m8!1m2!2m1!1sEdificio+Servicio+Nacional+del+Empleo,+mexico!3m4!1s0x85d1ff054f02c1f3:0xbe09096a78cf92b0!8m2!3d19.3964672!4d-99.1557153?hl=es-419",-99.163,19.398,,,
,,,,genova,37,,,,,,"https://www.google.com.mx/maps/place/Calle+Genova+37,+Ju%C3%A1rez,+06600+Ciudad+de+M%C3%A9xico,+CDMX/@19.4267575,-99.1664587,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff343006c05d:0xa35c6fb2a6d6db49!8m2!3d19.4267525!4d-99.16427",-99.166,19.427,Ciudad de México,,
Edificio ,dañado,La morena y Juan Sanchez Ascona,,,,,,,,,"https://www.google.com.mx/maps/@19.39849,-99.1598868,20z",-99.1598868,19.39849,CDMx,,
Plaza Comercial,dañado ,"Calz. Obrero Mundial 296, Narvarte Poniente, 03000 Ciudad de México, CDMX",,,,,,,,,"https://www.google.com.mx/maps/place/Buffalo+Wild+Wings/@19.4016991,-99.1595727,19.92z/data=!4m5!3m4!1s0x0:0xdfd1accfa125be2a!8m2!3d19.4020429!4d-99.1598481",-99.1598868,19.4016991,CDMx,,
Edificio ,dañado ,Monterey 398,,,,,,,,,"https://www.google.com.mx/maps/@19.4025925,-99.1601715,3a,75y,254.16h,90.13t/data=!3m6!1e1!3m4!1st8srTJzYRN_fs1G-gEKmkQ!2e0!7i13312!8i6656",-99.1601715,19.4025925,CDMx,,
Edificio ,dañado ,Viaducto 91,,,,,,,,,"https://www.google.com.mx/maps/place/Peralta+Castillo+Francisco+Miguel/@19.403252,-99.1611789,19z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff16c8b741dd:0x656c25b0c655dfec!8m2!3d19.403252!4d-99.1606317",-99.1611789,19.403252,CDMx,,
Edificio ,Derrumbe,"Pacífico, esq. Candelaria",Los Reyes,Pacífico,,,,,,,"https://www.google.com/maps/place/19%C2%B020'05.4%22N+99%C2%B008'50.6%22W/@19.3348423,-99.1561368,15z/data=!4m5!3m4!1s0x0:0x0!8m2!3d19.3348423!4d-99.1473821?hl=es",-99.1473821,19.3348423,CDMX,Red de monitoreo,
