id,enabled,pin_name,address,city,additional_info,description (add here a one-line description of the place),phone,url,display_url,price,price_cpx,lat,lon,region_kind,region_id,region_name,polygon_geom,image,venue_id,android_deep_link,ios_deep_link,external_ref,monday,tuesday,wednesday,thursday,friday,saturday,sunday,Air conditioning,Valet service,Take-out,Outdoor seating,Wi-Fi,Parking for customers,Credit cards,Reservations,Drive-thru,Delivery,Wheelchair accessible,Restrooms,Location Tag,VERIFICADO
2574386,TRUE,Zona de derrumbre,10 De Abril Y Anenecuilco,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.316634,-99.109938,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574387,TRUE,Zona de derrumbre,Av San Ana Y Ejido Santa Cruz,Cdmx,Col. San Francisco CulhuacÃ¡n,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.329427,-99.124928,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574388,TRUE,Zona de derrumbre,PerifÃ©rico Y Circuito Cuemanco Norte,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.281995,-99.113168,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574389,TRUE,Zona de derrumbre,Rancho De Los Arcos Y Calz Del Hueso,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.303344,-99.12299,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574390,TRUE,Zona de derrumbre,Viaducto Y Av Coyoacan,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.400198,-99.167903,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574391,TRUE,Zona de derrumbre,Tlalpan Fovissste Y Calz De Tlalpan,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.340871,-99.143292,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574392,TRUE,Zona de derrumbre,Comonfort Y Jaime Nuno,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.445171,-99.135075,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574393,TRUE,Zona de derrumbre,Lerdo Y Magnolia,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.442598,-99.142839,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574394,TRUE,Zona de derrumbre,Mina 16 Y 2 De Abril,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.438887,-99.141669,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574395,TRUE,Zona de derrumbre,Laredo Y Amsterdam,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.414317,-99.170106,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574396,TRUE,Zona de derrumbre,Chimalpopoca Y SimÃ_n BolÃ_var,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.422269,-99.140019,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574397,TRUE,Zona de derrumbre,Tabasco Y MedellÃ_n,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.417854,-99.166064,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574398,TRUE,Zona de derrumbre,Salamanca Esquina Oaxaca,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.417036,-99.169041,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574399,TRUE,Zona de derrumbre,Puebla 282 Esq Salamanca,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.421016,-99.170059,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
2574400,TRUE,Zona de derrumbre,Alvaro ObregÃ_n Y Valladolid,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,52508066,https://www.cenaced.org.mx,https://www.cenaced.org.mx,100,,19.416907,-99.167314,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
,,Zona de derrumbre,La Morena y Heriberto Frias,Cdmx,Narvarte Poniente,,,,,,,19.398836,-99.15941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,La Morena y Enrique Rebsamen,Cdmx,Narvarte Poniente,,,,,,,19.398892,-99.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574403,TRUE,CDMX,,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,,,,100,,,,Metro,2128,MexicoCity,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2574404,TRUE,Puebla,,Puebla,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,,,,100,,,,Metro,1690,Puebla,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2574405,TRUE,Morelos - State,,Morelos,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,,,,100,,,,State,1700027,Morelos,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2574406,TRUE,Zona de derrumbre,Calle Gabriel Mancera 740b,Cdmx,,Centro Nacional de Apoyo para Contingencias EpidemiolÃ_gicas y Desastres A.C.,,,,100,,19.387547,-99.163825,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Temblor,
,,Zona de derrumbre,"Calle del Puente 222, Ejidos de Huipulco, San Bartolo el Chico, 14380 Tlalpan, CDMX",Cdmx,,,,,,,,19.283297,-99.135177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,Narciso Mendoza        Av. las Trancas,CDMX,,,,,,,,19.293062,-99.12324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,Comonfort 48,Morelos,,,,,,,,19.445279,-99.135279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,Barrio 18        CaÃ±averales        ,Cdmx,,,,,,,,19.294597,-99.111725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,Barrio del Rosario        Pedro RamÃ_rez del Castillo,Cdmx,,,,,,,,19.26345,-99.105373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,San Gregorio Atlapulco        Av. MÃ©xico,Cdmx,,,,,,,,19.255266,-99.056425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,"Del Calvario 35Santa Cruz Acalpixca16500 Ciudad de MÃ©xico, CDMX",Cdmx,,,,,,,,19.244729,-99.073859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zona de derrumbre,"Av 16 de SeptiembreSanta MarÃ_a Tepepan16020 Ciudad de MÃ©xico, CDMX",cdmx,,,,,,,,19.278074,-99.133672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
